Year,Week,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2022,3,17.02586207,29.16979011,6.8067,7.10991,85376,14387,149,21300,24904
2022,4,16.88633202,28.75297668,6.85413,7.15734,84826,14231,93,20931,24390
2022,5,16.41425995,27.32662994,6.88973,7.19294,80954,13200,88,18717,22122
2022,6,14.50595199,23.94718012,6.91298,7.21619,76865,11065,85,15276,18407
2022,7,12.99528602,20.68204018,6.92358,7.22679,70641,9113,67,11523,14610
2022,8,11.15819853,17.25829726,6.92137,7.22458,65835,7281,65,8270,11362
2022,9,9.595480085,14.17920902,6.9064,7.20961,64249,6103,62,6031,9110
2022,10,7.915943768,11.71825596,6.8789,7.18211,61673,4818,64,4389,7227
2022,11,7.392441957,10.14307952,6.83927,7.14248,60386,4400,64,3113,6125
2022,12,6.882202853,9.28472353,6.78811,7.09132,58397,3935,84,2499,5422
2022,13,6.359031104,8.352495721,6.72616,7.02937,57839,3603,75,1904,4831
2022,14,5.939459197,7.665723068,6.65433,6.95754,57581,3325,95,1549,4414
2022,15,6.059869848,7.613015184,6.57368,6.87689,57625,3398,94,1402,4387
2022,16,6.030719197,7.550771515,6.48538,6.78859,56577,3307,105,1343,4272
2022,17,5.951257037,7.564949823,6.39073,6.69394,57198,3309,95,1423,4327
2022,18,5.8014948,7.46180247,6.2911,6.59431,57399,3248,82,1429,4283
2022,19,6.017301038,7.941176471,6.18796,6.49117,57800,3381,97,1662,4590
2022,20,6.261843089,8.344488292,6.0828,6.38601,57523,3513,89,1741,4800
2022,21,6.040928078,8.224226895,5.97716,6.28037,56978,3360,82,1935,4686
2022,22,6.277847396,8.576998051,5.87258,6.17579,57456,3525,82,1994,4928
2022,23,6.194629134,8.570935152,5.77059,6.0738,57905,3516,71,2122,4963
2022,24,6.305977921,8.762063459,5.67268,5.97589,57612,3559,74,2185,5048
2022,25,6.088018299,8.672846407,5.58027,5.88348,58147,3505,35,2317,5043
2022,26,6.061757392,8.743782813,5.49472,5.79793,57904,3470,40,2407,5063
2022,27,6.236748203,9.086207788,5.41727,5.72048,58011,3583,35,2577,5271
2022,28,6.170658066,9.495299527,5.34906,5.65227,58292,3579,18,2908,5535
2022,29,6.405676043,9.985071873,5.29109,5.5943,59619,3795,24,3208,5953
2022,30,6.538881682,10.29221001,5.24421,5.54742,58588,3808,23,3377,6030
2022,31,6.446639446,10.17738848,5.20911,5.51232,59023,3790,15,3343,6007
2022,32,6.566469239,10.12530385,5.18631,5.48952,58418,3822,14,3254,5915
2022,33,6.399175187,9.863390326,5.17615,5.47935,58195,3705,19,3134,5740
2022,34,6.344634912,9.678198186,5.17878,5.48199,57986,3665,14,3002,5612
2022,35,6.154990229,9.397644536,5.19419,5.4974,57823,3547,12,2892,5434
2022,36,6.15661104,9.311082585,5.22216,5.52537,58425,3579,18,2777,5440
2022,37,6.186936199,9.001845559,5.2623,5.56551,57977,3570,17,2474,5219
2022,38,6.122309298,8.974709969,5.31404,5.61725,58442,3559,19,2519,5245
2022,39,6.110280599,8.716944172,5.37663,5.67984,58197,3532,24,2350,5073
2022,40,5.963915521,8.395475067,5.44919,5.7524,59139,3499,28,2162,4965
2022,41,6.003442109,8.428103803,5.53067,5.83388,59266,3502,56,2105,4995
2022,42,6.416456759,8.811083123,5.61991,5.92312,59550,3766,55,2155,5247
2022,43,6.202555082,8.629715036,5.71563,6.01884,59411,3599,86,2196,5127
2022,44,6.407550807,8.778809884,5.81644,6.11965,60179,3707,149,2194,5283
2022,45,6.59210811,9.001947177,5.92091,6.22412,60087,3752,209,2141,5409
2022,46,6.742724868,9.158399471,6.02752,6.33073,60480,3839,239,2196,5539
2022,47,7.228227227,9.685253083,6.13475,6.43796,63003,4165,389,2405,6102
2022,48,8.227341875,10.67860672,6.24106,6.54427,63763,4459,787,2470,6809
2022,49,8.864543392,11.65192895,6.34492,6.64813,63895,4722,942,2864,7445
2022,50,8.975175048,11.9473143,6.44483,6.74804,61269,4549,950,2926,7320
2022,51,8.666975039,11.65989961,6.53936,6.84257,58371,4240,819,2837,6806
2022,52,9.076993455,12.36188331,6.62715,6.93036,56836,4365,794,2965,7026
2023,1,9.35567449,12.87516311,6.70694,7.01015,52877,4223,724,3016,6808
2023,2,8.740241142,12.30886497,6.77759,7.0808,43294,3348,436,2515,5329
2023,3,8.581283245,11.95561835,6.83808,7.14129,24064,1877,188,1332,2877
